,
MENU2/CMD,056 
ROBOT/CMD,056 
METEOR/CMD,056 
CATER/CMD,056 
NOVA/CMD,056 
GALAXY/CMD,056 
MENU1/CMD,056 
STELLAR/CMD,056 
COSMIC/CMD,056 
BATLZONE/CMD,056 
ATTACK/CMD,056 =831  11/26/86  COMMAND 
LESSON2,057 
FORWARD,057 
LESSON3,057 
LESSON1,057 
L1P10,057 
L3P06,057 
L1P03,057 
L1P04,057 
L1P05,057 
L1P06,057 
L1P07,057 
L1P08,057 
L1P09,057 
L2P02,057 
L2P03,057 
L2P04,057 
L2P05,057 
L2P06,057 
L2P07,057 
L3P02,057 
L3P03,057 
L3P04,057 
L3P05,057 
L3P07,057 
L1P02,057 =14  1/9/87  DBLESSN 
AIRSEA,058 
TAPEDATA/BAS,058 
WHITE,058 
BOWLING,058 
HANGMAN,058 
CHEMTEST,058 
LESSON4,058 
TYPTUDER/BAS,058 
MAGICIAN,058 
SCORE/BAS,058 
TAPEDATA/MKR,058 
MUSIC,058 
FRANKENS/BAS,058 
SKI,058 
NIGHT/BAS,058 
FULLBACK,058 
TAPEDATA/MAK,058 
PIFORMLA,058 
FLIGHT,058 
L4P02,058 
L4P03,058 
L4P04,058 
L4P06,058 
L4P07,058 
L4P08,058 
MONSTER,058 
BLAKJACK,058 =1  1/9/87  DISK-58 
HAPPY/CRD,059 
MINUET/CRD,059 
EXAMPLES/DOC,059 
SNEAK/CMD,059 
APPLE/CMD,059 
CHORD/CMD,059 
SCRIPLUS/CMD,059 
SCRIPLUS/DOC,059 
POLKA/CRD,059 
M3SCRIP/LC,059 
SPLUS123/CMD,059 
PUZZLE/CMD,059 
SPLUS3/CMD,059 
M1SCRIP/LC,059 
BACH/CRD,059 =0  6/29/84  NEWDOS80
YEILD,060 
START,060 
INFOFILE,060 
GYPSEY,060 
INDEXFIL,060 
DATAFILE,060 
DATASORT,060 
NLOS7,060 
ICS,060 
STOCKNUM,060 
SERIES1/CMD,060 
COVER280,060 
CRACK1V2/BAS,060 
KENREPR/CMD,060 
CRACK3/BAS,060 
KENREPR/ZBS,060 
CRACK3V2/BAS,060 
PICT1/CMD,060 
SECINTLD/TXT,060 
PICT2/CMD,060 
KENREPR/BAS,060 
TIMETREK/CMD,060 
FIGHTER/CMD,060 
RSPINBAL/CMD,060 
CATARI/CMD,060 
INVADERS/CMD,060 
FINDLOC/CMD,060 
BASKET/CMD,060 
RAIDERS/CMD,060 =1  8/26/86  MIXED   
